,index,Year,TmCode,Role,Tms,Overall_WL%_Rank,Overall_T/G_Rank,Overall_PtsDiff_Rank,Overall_YdsDiff_Rank,Offense_Yds_Rank,Offense_Pts_Rank,Offense_GvA_Rank,Rushing Off_Att_Rank,Rushing Off_Yds_Rank,Rushing Off_TD_Rank,Rushing Off_Y/A_Rank,Rushing Off_FL_Rank,Passing Off_Att_Rank,Passing Off_Yds_Rank,Passing Off_TD_Rank,Passing Off_Int_Rank,Passing Off_NY/A_Rank,Defense_Yds_Rank,Defense_Pts_Rank,Defense_TkA_Rank,Rushing Def_Att_Rank,Rushing Def_Yds_Rank,Rushing Def_TD_Rank,Rushing Def_Y/A_Rank,Rushing Def_FR_Rank,Passing Def_Att_Rank,Passing Def_Yds_Rank,Passing Def_TD_Rank,Passing Def_Int_Rank,Passing Def_netY/A_Rank,Name,Age,Tm,Lg,G,W,L,T,W-L%_1,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L%_2,Num,Won,Rank,Notes
0,0,1963,BAL,HC,14,7,9,7,5,2,7,7,12,9,10,5,14,2,1,8,1,4,6,7,9,9,9,11,9,6,1,6,6,11,7,Don Shula+,33,Baltimore Colts,NFL,14,8,6,0,.571,2.0,0.8,1.2,,,,,,,3,
1,1,1964,BAL,HC,14,1,1,1,2,1,1,1,4,5,1,4,2,10,2,6,2,1,3,1,2,5,8,5,10,6,7,2,2,3,2,Don Shula+,34,Baltimore Colts,NFL,14,12,2,0,.857,15.5,9.3,6.2,1,0,1,.000,,,1,
2,2,1965,BAL,HC,14,2,8,2,5,5,3,7,5,9,7,10,9,6,3,2,6,4,5,4,6,5,4,3,5,11,10,7,7,6,5,Don Shula+,35,Baltimore Colts,NFL,14,10,3,1,.769,12.9,7.0,5.9,1,0,1,.000,,,1,
3,3,1966,BAL,HC,15,3,7,4,7,5,8,10,9,10,14,11,3,9,4,4,12,2,7,3,5,10,9,2,6,5,12,4,5,7,4,Don Shula+,36,Baltimore Colts,NFL,14,9,5,0,.643,7.6,2.2,5.5,,,,,,,2,
4,4,1967,BAL,HC,16,1,2,2,1,1,2,1,9,11,1,13,1,4,2,6,2,1,5,2,4,3,4,1,4,16,7,7,2,1,8,Don Shula+,37,Baltimore Colts,NFL,14,11,1,2,.917,13.2,6.4,6.8,,,,,,,1,
5,5,1968,BAL,HC,16,1,5,1,2,4,2,9,6,8,5,9,3,12,3,1,11,2,2,1,4,2,3,2,3,10,15,4,1,2,1,Don Shula+,38,Baltimore Colts,NFL,14,13,1,0,.929,17.9,8.0,9.9,3,2,1,.667,,,1,NFL Champions 
6,6,1969,BAL,HC,16,6,16,7,10,4,8,14,8,14,4,16,5,7,2,13,14,3,13,6,15,4,4,5,4,13,15,15,9,13,14,Don Shula+,39,Baltimore Colts,NFL,14,8,5,1,.615,3.0,0.5,2.5,,,,,,,2,
7,7,1970,MIA,HC,26,4,7,8,14,11,11,8,4,3,7,5,3,23,20,15,10,9,15,5,7,2,7,7,13,12,22,22,15,6,24,Don Shula+,40,Miami Dolphins,NFL,14,10,4,0,.714,-1.3,-1.3,0.0,1,0,1,.000,,,2,
8,8,1971,MIA,HC,26,3,7,3,4,5,4,1,9,1,15,1,7,23,19,4,1,8,5,3,21,4,8,8,15,15,18,6,3,18,7,Don Shula+,41,Miami Dolphins,NFL,14,10,3,1,.769,7.7,2.4,5.3,3,2,1,.667,,,1,AFC Champions 
9,9,1972,MIA,HC,26,1,2,1,1,1,1,5,1,1,1,2,16,24,16,11,3,3,1,1,2,1,3,3,9,1,13,5,3,2,3,Don Shula+,42,Miami Dolphins,NFL,14,14,0,0,1.000,11.0,4.5,6.5,3,3,0,1.000,,,1,Super Bowl Champions 
